"Трамвайный пр., д.13, к.1","338,96\0",33\27,-90\-
"Трамвайный пр., д.13, к.2",28\25,"62,5\67,95",123\172
"Трамвайный пр., д.13, к.3",55\29,"57,35\42,25",4\46
"Трамвайный пр., д.15, к.1",74\94,"142,15\158,05",92\68
"Трамвайный пр., д.15, к.2",40\37,"52,05\44,45",30\20
"Трамвайный пр., д.15, к.3",61\68,"98,2\117,5",61\73
"Трамвайный пр., д.17",23\28,"55,9\62,7",143\124
"Трефолева ул., д.3",1402\654,"1258,55\564,45",-10\-14
"Трефолева ул., д.5",210\202,"221,6\222,95",6\10
"Трефолева ул., д.11",57\39,"88,3\36,35",55\-7
"Трефолева ул., д.15",560\340,644\391,15\15
"Трефолева ул., д.22/25","2079,74\900","2394,4\1041,3",15\16
"Трефолева ул., д.26",99\54,"114,15\68,55",15\27
"Турбинная ул., д.11",41\473,"46,45\546,1",13\15
"Тургеневский пер., д.3","144,628\0","144,63\0",0\-
"Тургеневский пер., д.5",47\49,"83,4\50,95",77\4
"Урюпин пер., д.2/6",37\19,"30,2\11,1",-18\-42
"Урюпин пер., д.5",194\112,"319,45\231,35",65\107
"Швецова ул., д.4",51\27,",001\0",-100\-100
"Швецова ул., д.6",16\8,"181,35\94,25",1033\1078
"Швецова ул., д.10",530\446,"786,85\698,75",48\57
"Швецова ул., д.11",348\252,"508,35\334,85",46\33
"Шотландская ул., д.3",110\52,"1146,6\434,65",942\736
