"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","1443,99\1254,76",1340\1023,-7\-18
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","703,2\534",625\530,-11\-1
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д",627\128,545\132,-13\3
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","951,75\194,3",825\200,-13\3
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","870,5\923",868\913,0\-1
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1",1218\594,1172\571,-4\-4
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А",443\381,"482,4\392",9\3
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","906,3\842",901\834,-1\-1
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","937,53\749","940,5\902",0\20
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б",661\465,651\459,-2\-1
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1068,21\568","1096,92\557",3\-2
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","547,81\622,6","540,5\571",-1\-8
"МАРШАЛА КАЗАКОВА УЛ., д.13","2349,87\791","2328,96\804",-1\2
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","194,8\199",186\163,-5\-18
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","65,4\0","46,44\0",-29\-
"МОРСКОЙ ПЕХОТЫ УЛ., д.4",1659\1202,1645\1194,-1\-1
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","1636,58\569","2131,08\493",30\-13
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1",1719\837,1707\801,-1\-4
"МОРСКОЙ ПЕХОТЫ УЛ., д.14",1300\727,1265\680,-3\-6
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7","304,2\133,9",265\112,-13\-16
"НОВАТОРОВ БУЛЬВАР, д.1","112,5\219,7",98\167,-13\-24
"НОВАТОРОВ БУЛЬВАР, д.3",97\63,"72,6\54,6",-25\-13
"НОВООВСЯННИКОВСКАЯ УЛ., д.9",40\21,32\18,-20\-14
"НОВООВСЯННИКОВСКАЯ УЛ., д.13",26\23,21\7,-19\-70
"НОВООВСЯННИКОВСКАЯ УЛ., д.17А",,68\40,-\-
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2",106\58,102\36,-4\-38
"НОВОСТРОЕК УЛ., д.8",10\4,6\3,-40\-25
"НОВОСТРОЕК УЛ., д.20","187,95\122,85",247\158,31\29
"НОВОСТРОЕК УЛ., д.25","217,6\132","243,95\147",12\11
"НОВОСТРОЕК УЛ., д.27",94\30,78\42,-17\40
"НОВОСТРОЕК УЛ., д.28","71,5\46,2",89\59,24\28
"НОВОСТРОЕК УЛ., д.29","181,05\108","165,4\102",-9\-6
"НОВОСТРОЕК УЛ., д.31",255\153,243\142,-5\-7
"НОВОСТРОЕК УЛ., д.33",160\111,175\117,9\5
"НОВОСТРОЕК УЛ., д.35","310,3\202","303\194,3",-2\-4
"ОБОРОННАЯ УЛ., д.3",98\131,95\104,-3\-21
"ОБОРОННАЯ УЛ., д.4",1272\628,1242\546,-2\-13
"ОБОРОННАЯ УЛ., д.5",224\249,203\236,-9\-5
"ОБОРОННАЯ УЛ., д.6",4\1,1\8,-75\700
"ОБОРОННАЯ УЛ., д.7/20",146\95,110\85,-25\-11
"ОБОРОННАЯ УЛ., д.14",85\43,57\29,-33\-33
"ОБОРОННАЯ УЛ., д.17/13",57\29,67\41,18\41
"ОБОРОННАЯ УЛ., д.19",96\47,89\40,-7\-15
"ОБОРОННАЯ УЛ., д.20/18",85\43,77\36,-9\-16
"ОБОРОННАЯ УЛ., д.23/17",40\21,59\30,48\43
"ОБОРОННАЯ УЛ., д.27",50\25,28\12,-44\-52
"ОГОРОДНЫЙ ПЕР., д.4, корп.3",279\234,274\190,-2\-19
"ОГОРОДНЫЙ ПЕР., д.6, корп.1",312\158,543\276,74\75
"ОГОРОДНЫЙ ПЕР., д.6, корп.2",356\199,442\271,24\36
"ОГОРОДНЫЙ ПЕР., д.11",532\193,530\128,0\-34
