"СТАЧЕК ПР., д.95, корп.1",2079\1473,3039\1614,46\10
"СТАЧЕК ПР., д.101, корп.1А",998\601,1198\783,20\30
"СТАЧЕК ПР., д.101, корп.1Б",256\383,363\501,42\31
"СТАЧЕК ПР., д.101, корп.1В",2810\919,2075\1202,-26\31
"СТАЧЕК ПР., д.101, корп.1Г",666\443,823\618,24\40
"СТАЧЕК ПР., д.101, корп.1Д",1055\684,1173\694,11\1
"СТАЧЕК ПР., д.102",51\20,51\20,0\0
"СТАЧЕК ПР., д.103, корп.1",1467\1534,1733\1723,18\12
"СТАЧЕК ПР., д.105, корп.2А",650\416,674\436,4\5
"СТАЧЕК ПР., д.105, корп.2Б",1094\999,843\843,-23\-16
"СТАЧЕК ПР., д.105, корп.2В",1882\725,1981\918,5\27
"СТАЧЕК ПР., д.105, корп.2Г",598\749,792\963,32\29
"СТАЧЕК ПР., д.105, корп.2Д",2089\1520,2393\1742,15\15
"СТАЧЕК ПР., д.105, корп.2Е",795\656,896\776,13\18
"СТАЧЕК ПР., д.105, корп.2Ж",2301\1051,2505\1276,9\21
"СТАЧЕК ПР., д.105, корп.2З",798\769,498\644,-38\-16
"СТАЧЕК ПР., д.107, корп.1",1309\387,1279\405,-2\5
"ТРАКТОРНАЯ УЛ., д.3",74\39,164\57,122\46
"ТРАКТОРНАЯ УЛ., д.4",79\46,215\13,172\-72
"ТРАКТОРНАЯ УЛ., д.4А",123\100,34\8,-72\-92
"ТРАКТОРНАЯ УЛ., д.5",51\40,58\44,14\10
"ТРАКТОРНАЯ УЛ., д.6",9\18,11\20,22\11
"ТРАКТОРНАЯ УЛ., д.6, корп.2",45\31,12\22,-73\-29
"ТРАКТОРНАЯ УЛ., д.7",133\0,147\0,11\-
"ТРАКТОРНАЯ УЛ., д.8",64\36,",1\14",-100\-61
"ТРАКТОРНАЯ УЛ., д.9",122\110,117\111,-4\1
"ТРАКТОРНАЯ УЛ., д.10",10\9,73\36,630\300
"ТРАКТОРНАЯ УЛ., д.11",90\0,131\0,46\-
"ТРАКТОРНАЯ УЛ., д.12",72\117,121\106,68\-9
"ТРАКТОРНАЯ УЛ., д.13",106\73,219\144,107\97
"ТРАКТОРНАЯ УЛ., д.15",197\104,366\182,86\75
