"ОБОРОННАЯ УЛ., д.6",1\0,",01\0",-99\-
"ОБОРОННАЯ УЛ., д.7/20",292\115,210\116,-28\1
"ОБОРОННАЯ УЛ., д.14",89\45,97\47,9\4
"ОБОРОННАЯ УЛ., д.17/13",84\45,61\32,-27\-29
"ОБОРОННАЯ УЛ., д.19",82\82,113\16,38\-80
"ОБОРОННАЯ УЛ., д.20/18",66\41,80\49,21\20
"ОБОРОННАЯ УЛ., д.23/17",74\16,41\43,-45\169
"ОБОРОННАЯ УЛ., д.27",63\33,76\39,21\18
"ОГОРОДНЫЙ ПЕР., д.4, корп.3",291\227,255\199,-12\-12
"ОГОРОДНЫЙ ПЕР., д.6, корп.1",403\201,311\144,-23\-28
"ОГОРОДНЫЙ ПЕР., д.6, корп.2",390\194,"562,17\0",44\-100
"ОГОРОДНЫЙ ПЕР., д.11",119\39,119\34,0\-13
"ПРОМЫШЛЕННАЯ УЛ., д.12",43\38,89\60,107\58
"ПРОМЫШЛЕННАЯ УЛ., д.26",136\103,115\69,-15\-33
"ПРОМЫШЛЕННАЯ УЛ., д.28",115\56,80\40,-30\-29
"ПРОМЫШЛЕННАЯ УЛ., д.30",20\34,8\0,-60\-100
"ПРОМЫШЛЕННАЯ УЛ., д.34",53\41,58\37,9\-10
"ПРОМЫШЛЕННАЯ УЛ., д.36",29\15,28\14,-3\-7
"ПРОМЫШЛЕННАЯ УЛ., д.38",29\32,3\15,-90\-53
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6",96\48,87\43,-9\-10
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34",53\13,54\14,2\8
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43",20\0,16\44,-20\-
"СТАЧЕК ПР., д.1","547,97\80","418,97\68",-24\-15
"СТАЧЕК ПР., д.2/2",73\38,39\38,-47\0
"СТАЧЕК ПР., д.4/1",136\83,150\90,10\8
"СТАЧЕК ПР., д.6","65,32\65","59,8\84",-8\29
"СТАЧЕК ПР., д.8/2",37\32,"35\29,2",-5\-9
"СТАЧЕК ПР., д.8А","157,16\0","157,16\0",0\-
"СТАЧЕК ПР., д.9",287\237,407\289,42\22
"СТАЧЕК ПР., д.10",207\185,134\145,-35\-22
"СТАЧЕК ПР., д.11","177,12\241","142,68\176",-19\-27
"СТАЧЕК ПР., д.15",55\47,34\28,-38\-40
"СТАЧЕК ПР., д.17","588,166\307","562,806\313",-4\2
"СТАЧЕК ПР., д.19",720\415,669\367,-7\-12
"СТАЧЕК ПР., д.21","1738,44\655","1660,23\637",-4\-3
"СТАЧЕК ПР., д.22",80\73,107\91,34\25
"СТАЧЕК ПР., д.22А",832\899,919\749,10\-17
"СТАЧЕК ПР., д.23",722\379,595\313,-18\-17
"СТАЧЕК ПР., д.24",547\286,547\286,0\0
"СТАЧЕК ПР., д.27",8\12,63\51,688\325
"СТАЧЕК ПР., д.29",147\122,155\136,5\11
"СТАЧЕК ПР., д.33/2",37\35,26\44,-30\26
"СТАЧЕК ПР., д.34, корп.1",105\76,241\129,130\70
"СТАЧЕК ПР., д.34, корп.2",37\26,23\15,-38\-42
"СТАЧЕК ПР., д.35",66\50,58\45,-12\-10
"СТАЧЕК ПР., д.38",30\15,7\4,-77\-73
"СТАЧЕК ПР., д.41",238\175,162\148,-32\-15
"СТАЧЕК ПР., д.42",33\39,5\18,-85\-54
"СТАЧЕК ПР., д.95, корп.1",2387\1392,2068\1187,-13\-15
"СТАЧЕК ПР., д.101, корп.1А","1314,72\674","1225,62\655",-7\-3
"СТАЧЕК ПР., д.101, корп.1Б","1145,43\1190","728,64\562",-36\-53
"СТАЧЕК ПР., д.101, корп.1В",2135\1285,1806\1034,-15\-20
"СТАЧЕК ПР., д.101, корп.1Г",1006\866,793\663,-21\-23
"СТАЧЕК ПР., д.101, корп.1Д",1112\713,1017\621,-9\-13
"СТАЧЕК ПР., д.102",58\11,68\12,17\9
"СТАЧЕК ПР., д.103, корп.1","1004,85\1990","854,37\1099",-15\-45
"СТАЧЕК ПР., д.105, корп.2А",919\671,855\560,-7\-17
"СТАЧЕК ПР., д.105, корп.2Б","2393,62\1690","1697,41\1352",-29\-20
"СТАЧЕК ПР., д.105, корп.2В",2644\1303,2461\1131,-7\-13
"СТАЧЕК ПР., д.105, корп.2Г",1040\1097,831\822,-20\-25
"СТАЧЕК ПР., д.105, корп.2Д","2527,47\1778","2353,23\1597",-7\-10
"СТАЧЕК ПР., д.105, корп.2Е","1536,36\1031","1288,54\766",-16\-26
"СТАЧЕК ПР., д.105, корп.2Ж","2682,1\1435","260,8\1265",-90\-12
"СТАЧЕК ПР., д.105, корп.2З","1509,41\1124","1164,03\936",-23\-17
"СТАЧЕК ПР., д.107, корп.1","1716,96\693","1705,2\776",-1\12
"ТРАКТОРНАЯ УЛ., д.3",69\92,45\80,-35\-13
"ТРАКТОРНАЯ УЛ., д.4",63\38,62\40,-2\5
"ТРАКТОРНАЯ УЛ., д.4А",141\132,88\102,-38\-23
"ТРАКТОРНАЯ УЛ., д.5",93\81,72\74,-23\-9
"ТРАКТОРНАЯ УЛ., д.6",36\39,26\35,-28\-10
"ТРАКТОРНАЯ УЛ., д.6, корп.2",38\35,20\26,-47\-26
"ТРАКТОРНАЯ УЛ., д.7",70\62,40\46,-43\-26
"ТРАКТОРНАЯ УЛ., д.8",39\68,16\25,-59\-63
"ТРАКТОРНАЯ УЛ., д.9",181\151,199\197,10\30
"ТРАКТОРНАЯ УЛ., д.10",26\37,15\22,-42\-41
"ТРАКТОРНАЯ УЛ., д.11",104\47,82\42,-21\-11
"ТРАКТОРНАЯ УЛ., д.12",71\153,38\122,-46\-20
