"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"ОБОРОННАЯ УЛ., д.5","496\300,2","715\416,2","44\39"
"ОБОРОННАЯ УЛ., д.6","40,1\27,95","81,1\32,95","102\18"
"ОБОРОННАЯ УЛ., д.7/20","90,95\47,95","24,95\12,95","-73\-73"
"ОБОРОННАЯ УЛ., д.14","66,81\98,05","116,15\67,05","74\-32"
"ОБОРОННАЯ УЛ., д.17/13","86,7\41,05","57,7\28,05","-33\-32"
"ОБОРОННАЯ УЛ., д.19","96,7\62,3","102,7\55,3","6\-11"
"ОБОРОННАЯ УЛ., д.20/18","87,35\42,8","96,35\46,8","10\9"
"ОБОРОННАЯ УЛ., д.23/17","89,95\45,85","74,95\58,85","-17\28"
"ОБОРОННАЯ УЛ., д.27","66,26\41,2","79,6\42,2","20\2"
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","337,55\211,1","605,55\343,1","79\63"
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","241,45\109","306,45\155","27\42"
"ОГОРОДНЫЙ ПЕР., д.6, корп.2","637\320","518\255","-19\-20"
"ОГОРОДНЫЙ ПЕР., д.11",,"121\28","-\-"
"ПРОМЫШЛЕННАЯ УЛ., д.12","50,9\26,85","4,9\28,85","-90\7"
"ПРОМЫШЛЕННАЯ УЛ., д.26","123,7\42,75","150,7\82,75","22\94"
"ПРОМЫШЛЕННАЯ УЛ., д.28","62,55\23","70,55\36","13\57"
"ПРОМЫШЛЕННАЯ УЛ., д.30","18,55\10,35","19,55\10,35","5\0"
"ПРОМЫШЛЕННАЯ УЛ., д.34","82,6\40,45","84,6\41,45","2\2"
"ПРОМЫШЛЕННАЯ УЛ., д.36","52,15\26,65","80,15\40,65","54\53"
"ПРОМЫШЛЕННАЯ УЛ., д.38","18,95\5,9","19,95\9,9","5\68"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","100,85\48,85","94,85\46,85","-6\-4"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","42,1\27,6","33,1\17,6","-21\-36"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43","39,8\18,4","38,8\20,4","-3\11"
"СТАЧЕК ПР., д.1","372,12\164,6","784,15\300,6","111\83"
"СТАЧЕК ПР., д.2/2","136,8\71,3","114,8\64,3","-16\-10"
